Stock,yr,bbmsy,ffmsy,bbmsy.effEdepP,ffmsy.effEdepP
Trichiurus.lepturus,1995,1.40122595755892,0.43616870030718,1.40122595755892,0.43616870030718
Trichiurus.lepturus,1996,1.48066849952971,0.670654846594186,1.48066849952971,0.670654846594186
Trichiurus.lepturus,1997,1.47267787041428,0.511229259499229,1.47267787041428,0.511229259499229
Trichiurus.lepturus,1998,1.46891945026275,0.570713235396,1.46891945026275,0.570713235396
Trichiurus.lepturus,1999,1.49880766213574,0.513142421696075,1.49880766213574,0.513142421696075
Trichiurus.lepturus,2000,1.69587653745843,0.516022351151419,1.69587653745843,0.516022351151419
Trichiurus.lepturus,2001,1.90156973156048,0.6297230472593,1.90156973156048,0.6297230472593
Trichiurus.lepturus,2002,1.89428766578531,0.625862378126482,1.89428766578531,0.625862378126482
Trichiurus.lepturus,2003,1.53186241099826,0.490065279330553,1.53186241099826,0.490065279330553
Trichiurus.lepturus,2004,1.45504587564747,0.437134277995269,1.45504587564747,0.437134277995269
Trichiurus.lepturus,2005,1.6791138191586,0.503779905359719,1.6791138191586,0.503779905359719
Trichiurus.lepturus,2006,2.13448252899507,0.683142824669106,2.13448252899507,0.683142824669106
Trichiurus.lepturus,2007,2.17392338709306,0.615516484109287,2.17392338709306,0.615516484109287
Trichiurus.lepturus,2008,2.62222142978026,0.722734793635081,2.62222142978026,0.722734793635081
Trichiurus.lepturus,2009,2.71425784255722,0.61892008669849,2.71425784255722,0.61892008669849
Trichiurus.lepturus,2010,2.72897384147103,0.720227629541633,2.72897384147103,0.720227629541633
Trichiurus.lepturus,2011,2.77912419577201,0.819329077860437,2.77912419577201,0.819329077860437
Trichiurus.lepturus,2012,2.2573289056689,0.557792102185243,2.2573289056689,0.557792102185243
Trichiurus.lepturus,2013,2.1159583011648,0.586879590342269,2.1159583011648,0.586879590342269
Trichiurus.lepturus,2014,2.19150513508819,0.688566577112444,2.19150513508819,0.688566577112444
Trichiurus.lepturus,2015,2.11654009570901,0.822836596599614,2.11654009570901,0.822836596599614
Trichiurus.lepturus,2016,1.67064451952911,0.980940816728212,1.67064451952911,0.980940816728212
Trichiurus.lepturus,2017,1.32607161882213,1.74648118145824,1.32607161882213,1.74648118145824
Trichiurus.lepturus,2018,1.03779040764678,2.09195309945819,1.03779040764678,2.09195309945819
Spicara.spp,1951,1.2790825607172,0.360748845572282,1.2790825607172,0.360748845572282
Spicara.spp,1952,1.22944592103394,0.370027318573986,1.22944592103394,0.370027318573986
Spicara.spp,1953,1.09835521834178,0.461526841639513,1.09835521834178,0.461526841639513
Spicara.spp,1954,1.12808337827664,0.570347015616919,1.12808337827664,0.570347015616919
Spicara.spp,1955,1.08162783377606,0.606860259163732,1.08162783377606,0.606860259163732
Spicara.spp,1956,1.11974110131244,0.592008211921067,1.11974110131244,0.592008211921067
Spicara.spp,1957,1.25466595544029,0.517984858860322,1.25466595544029,0.517984858860322
Spicara.spp,1958,1.67303086623808,0.578798629260988,1.67303086623808,0.578798629260988
Spicara.spp,1959,1.73645876185476,0.565142088602575,1.73645876185476,0.565142088602575
Spicara.spp,1960,1.64644836517403,0.568407180870641,1.64644836517403,0.568407180870641
Spicara.spp,1961,1.59036901446467,0.621141950164196,1.59036901446467,0.621141950164196
Spicara.spp,1962,1.95322105745086,0.52904291858449,1.95322105745086,0.52904291858449
Spicara.spp,1963,2.04039385994468,0.487329387881371,2.04039385994468,0.487329387881371
Spicara.spp,1964,1.98317548889411,0.530883279773166,1.98317548889411,0.530883279773166
Spicara.spp,1965,1.85314000629371,0.568135545255175,1.85314000629371,0.568135545255175
Spicara.spp,1966,1.79827690709045,0.621608663430492,1.79827690709045,0.621608663430492
Spicara.spp,1967,1.69801692608026,0.68510351373766,1.69801692608026,0.68510351373766
Spicara.spp,1968,1.69287991932473,0.664148396787262,1.69287991932473,0.664148396787262
Spicara.spp,1969,1.88042744924816,0.608276816989438,1.88042744924816,0.608276816989438
Spicara.spp,1970,1.92269179759644,0.588720091286439,1.92269179759644,0.588720091286439
Spicara.spp,1971,1.9093939260365,0.57328303621167,1.9093939260365,0.57328303621167
Spicara.spp,1972,2.00889610312044,0.56287503992771,2.00889610312044,0.56287503992771
Spicara.spp,1973,2.15766973246363,0.498642618738459,2.15766973246363,0.498642618738459
Spicara.spp,1974,1.89168830090661,0.570437838672287,1.89168830090661,0.570437838672287
Spicara.spp,1975,1.90992719697722,0.605074668946561,1.90992719697722,0.605074668946561
Spicara.spp,1976,1.88290820132118,0.63698628473627,1.88290820132118,0.63698628473627
Spicara.spp,1977,1.8473624010677,0.64090517222652,1.8473624010677,0.64090517222652
Spicara.spp,1978,1.67210963339187,0.640527289372137,1.67210963339187,0.640527289372137
Spicara.spp,1979,1.4556769560814,0.666828997133544,1.4556769560814,0.666828997133544
Spicara.spp,1980,1.33206247624657,0.68162902796836,1.33206247624657,0.68162902796836
Spicara.spp,1981,1.27096428604797,0.705141212461449,1.27096428604797,0.705141212461449
Spicara.spp,1982,1.16390813880398,0.838066018630808,1.16390813880398,0.838066018630808
Spicara.spp,1983,1.09032742757169,0.940519313310703,1.09032742757169,0.940519313310703
Spicara.spp,1984,0.941122955865328,0.935565072926771,0.941122955865328,0.935565072926771
Spicara.spp,1985,0.913815381343401,0.974688304789729,0.913815381343401,0.974688304789729
Spicara.spp,1986,0.856582589436285,0.979950124624615,0.856582589436285,0.979950124624615
Spicara.spp,1987,0.825870129663625,1.12640464615553,0.825870129663625,1.12640464615553
